uuid,prefname,known_names,country
730a1310-bda0-4b1e-8298-d1ac85b99e61,"Addictive and Compulsive Behavior Lab (ACB-Lab), Institute for Health and Behavior, University of Luxembourg, Esch-sur-Alzette","Addictive and Compulsive Behaviour Lab (ACB-Lab), Institute for Health and Behaviour, University of Luxembourg, Esch-sur-Alzette ## Addictive and Compulsive Behaviour Lab (ACB-Lab), Institute for Health and Behaviour, University of Luxembourg, Esch?sur?Alzette ## Addictive and Compulsive Behaviours Lab (ACB-Lab), Institute for Health and Behaviour, Department of Behavioural and Cognitive Sciences, University of Luxembourg ## Addictive and Compulsive Behaviours Lab (ACB-Lab), Institute for Health and Behaviour, University of Luxembourg ## Addictive and Compulsive Behaviours Lab (ACB-Lab), Institute for Health and Behaviour, University of Luxembourg, Esch-sur-Alzette ## Addictive and Compulsive Behaviours Lab, Institute for Health and Behaviour, University of Luxembourg ## Addictive and Compulsive Behaviours Lab, Institute for Health and Behaviour, University of Luxembourg, Esch-sur-Alzette ## Addictive and Compulsive Behaviours Lab. Institute for Health and Behaviour, University of Luxembourg ## Addictive and Compulsive Behaviours Laboratory (ACB-lab), Institute for Health and Behaviours, University of Luxembourg, Esch-sur-Alzette ## Addictive and Compulsive Behaviours Laboratory, Institute for Health and Behaviour, University of Luxembourg, Esch-sur-Alzette ## Addictive and Compulsive Behaviours Laboratory, Institute for Health and Behaviours, University of Luxembourg, Esch-sur-Alzette ## Institute for Health and Behavior, Addictive and Compulsive Behaviours Lab, University of Luxembourg, Esch-sur-Alzette ## University of Luxembourg, Esch-sur-Alzette; Institute for Health and Behaviour; ACB-Lab Addictive and Compulsive Behaviour Lab",LUXEMBOURG
348c4ac4-9422-4fcb-ab83-dcb5fa0a2f1c,Centre de Prévention des Toxicomanies (CePT),"Centre de Prévention des Toxicomanies (CePT) ## Centre de Prévention des Toxicomanies (CePT), Luxemburg ## Centre de Prévention des Toxicomanies, Luxembourg ## Centre de Prévention des Toxicomanies, Luxemburg ## Centre de prévention des toxicomanies (CePT), Luxemburg; Schwerpunkt: Erlebnispädagogik",LUXEMBOURG
2b0e42c0-bd78-452b-bd4d-ce9766fcdacc,Centre Hospitalier de Luxembourg,"Centre Hospitalier de Luxembourg ## Centre Hospitalier de Luxembourg, Luxembourg",LUXEMBOURG
9425b30b-dfde-4665-b35e-4933ee244377,"Centre Hospitalier de Luxembourg, Department of Neurology","Centre Hospitalier de Luxembourg, Luxemburg; Abteilung für Neurologie ## Centre Hospitalier de Luxembourg; Department of Neurology",LUXEMBOURG
c22de612-48f9-4952-9bda-51cea5c88785,"Clinical Psychophysiology Laboratory, Department of Behavioral and Cognitive Sciences, University of Luxembourg, Esch-sur-Alzette","Clinical Psychophysiology Laboratory, Department of Behavioural and Cognitive Sciences, University of Luxembourg, Esch-sur-Alzette ## Department of Behavioural and Cognitive Sciences, Clinical Psychophysiology Laboratory, University of Luxembourg, Esch-Sur-Alzette",LUXEMBOURG
b8bb6e1d-c603-4dbc-8b03-7fa25de32057,"Clinical Psychophysiology Laboratory, Institute for Health and Behavior, Department of Behavioral and Cognitive Sciences, Faculty of Humanities, Education and Social Sciences, University of Luxembourg, Esch-sur-Alzette","Clinical Psychophysiology Laboratory, Institute for Health and Behaviour, Department of Behavioural and Cognitive Sciences, Faculty of Humanities, Education and Social Sciences, University of Luxembourg, Esch-sur-Alzette ## Clinical Psychophysiology Laboratory, Institute for Health and Behaviour, Department of Behavioural and Cognitive Sciences; Faculty of Humanities, Education and Social Sciences; University of Luxembourg, Esch-sur-Alzette",LUXEMBOURG
01ee6027-ec09-4a73-9654-15655797b66d,"Clinical Psychophysiology Laboratory, Institute for Health and Behavior, University of Luxembourg, Esch-sur-Alzette","Clinical Psychophysiology Laboratory (CLIPSLAB), Institute for Health and Behaviour, University of Luxembourg, Esch-sur-Alzette ## Clinical Psychophysiology Laboratory, Institute for Health and Behaviour, University of Luxembourg, Esch-sur- Alzette ## Clinical Psychophysiology Laboratory, Institute for Health and Behaviour, University of Luxembourg, Esch-sur-Alzette ## University of Luxembourg, Esch-sur-Alzette; Institute for Health and Behaviour; Clinical Psychophysiology Laboratory",LUXEMBOURG
e826760a-4a39-4fbf-872f-a5b59d69eed4,"Clinique Pediatrique/CHL, Diabetes and Endocrine Care CP","Clinique Pediatrique/CHL, Diabetes & Endocrine Care CP ## Clinique Pediatrique/CHL, Diabetes & Endocrine Care CP, Luxembourg",LUXEMBOURG
fcb43be1-e3a9-4a97-b376-4ab5f975651d,"Computer Based Assessment, University of Luxembourg","Computer Based Assessment, University of Luxembourg ## Computer-Based Assessment, University of Luxembourg ## University of Luxembourg, Luxembourg; Computer Based Assessment",LUXEMBOURG
d0a8101e-b9fd-416f-9a3b-d6016a82177b,"Computer-Based Assessment Research Group, Department of Behavioral and Cognitive Sciences, University of Luxembourg","Computer-Based Assessment Group, Department of Behavioural and Cognitive Sciences, University of Luxembourg, Esch-sur-Alzette ## Computer-Based Assessment Research Group, Department of Behavioural and Cognitive Sciences, University of Luxembourg",LUXEMBOURG
