UUID,Cluster,Vorkommende Namen,Land
3d8a636d-41f2-404c-9802-99dc2fc743b8,"ALAN - Maladies Rares Luxembourg, Kockelscheuer","""ALAN - Maladies Rares Luxembourg, Kockelscheuer""",LUXEMBOURG
6f326615-ef73-46cf-b030-bcab9bbf53e8,"Alzheimer Europe, Luxembourg","""Alzheimer Europe, Luxembourg""",LUXEMBOURG
4fc0e607-d971-47a4-9a2e-42e40d6bc2de,"Arbeitsgemeinschaft für Werbung, Markt- und Meinungsforschung, Luxemburg","""Arbeitsgemeinschaft fuer Werbung, Markt- und Meinungsforschung, Luxemburg""",LUXEMBOURG
e31d011e-6d38-446b-911d-815eed316e3e,"Autisme Luxembourg a.S.B.L, 1, Beckerich","""Autisme Luxembourg a.S.B.L, 1, Beckerich""",LUXEMBOURG
1ad1faff-77af-439d-8bb2-dff536a3c97f,"CEPS/INSTEAD, Esch-sur-Alzette","""CEPS/INSTEAD, Esch-sur-Alzette""",LUXEMBOURG
aa2de35b-1384-45bb-bb60-6e16417bec10,"CRP-Sante, Luxembourg","""CRP Sante, Luxembourg""",LUXEMBOURG
d4f2e2a0-e14c-4d5b-9190-82f6383c1a29,"CRP-Sante, Strassen; Methodology and Statistics Unit","""CRP-Sante, Strassen; Methodology and Statistics Unit""",LUXEMBOURG
423d0429-69ae-4be7-8cf3-bfe453af726b,"Cargolux Airlines International, Luxembourg","""Cargolux Airlines International, Luxembourg""",LUXEMBOURG
a0c2f600-42f7-4f4a-a87c-70e3f5dccd9d,Cellule de Recherche Itzig,"""Cellule de Recherche Itzig""",LUXEMBOURG
555308db-8cfd-4c25-8588-9ed83bfbecb3,"Center Hospital de Luxembourg, Service de Neurochirurgie","""Center Hospital de Luxembourg, Service de Neurochirurgie""",LUXEMBOURG
1f685c8a-bf66-4b68-8c1d-69d4214eb3e4,"Hospital Center Emile Mayrisch, Dudelange; Department of Geriatrics","""Centre Hospitalier Emile Mayrisch, Dudelange; Department of Geriatrics""",LUXEMBOURG
c1e6bd7a-d607-43b5-b51c-eb792cc39ab6,"Hospital Center Emile Mayrisch, Luxembourg; Department of Neurology","""Centre Hospitalier Emile Mayrisch, Luxembourg; Department of Neurology""",LUXEMBOURG
52f1b7bd-d523-40b2-92a7-770122e497f8,"Centre Hospitalier Neuro-Psychiatrique Luxembourg, Ettelbrück, Rehaklinik","""Centre Hospitalier Neuro-Psychiatrique Luxembourg, Ettelbrück, Rehaklinik""",LUXEMBOURG
218826ff-6d04-4d32-8aca-d63f182c5fb4,"Centre Hospitalier Neuro-Psychiatrique, Ettelbrück, Bereich Suchtmedizin","""Centre Hospitalier Neuro-Psychiatrique, Ettelbrück, Bereich Suchtmedizin""",LUXEMBOURG
c31921d1-4935-4259-bdaa-f76e4ac2d19c,"Centre Hospitalier Neuro-Psychiatrique, Luxembourg","""Centre Hospitalier Neuro-Psychiatrique, Luxembourg""",LUXEMBOURG
7b75d5fb-5306-43bd-9a36-526627fb9488,"Centre Hospitalier de Luxembourg, Département de Psychiatrie","""Centre Hospitalier de Luxembourg, Luxembourg; Département de Psychiatrie""",LUXEMBOURG
7eaeaf7a-7945-45af-bd40-ce300b561bca,Centre Hospitalier de Luxembourg; Department of Neuroscience,"""Centre Hospitalier de Luxembourg; Department of Neuroscience""",LUXEMBOURG
d4299eb4-a69b-4ca7-8c74-8a4f0cfaa2eb,"Centre Hospitalier du Kirchberg, Luxembourg","""Centre Hospitalier du Kirchberg, Luxembourg""",LUXEMBOURG
945f59ca-55ed-448e-80c2-67c66f841895,"Centre Hospitalier du Kirchberg, Luxembourg; Department of Psychiatry","""Centre Hospitalier du Kirchberg, Luxembourg; Department of Psychiatry""",LUXEMBOURG
e168c308-3858-4612-b859-167e22bba72e,"Centre de Compétence Parachèvement, Bettemburg","""Centre de Compétence Parachèvement, Bettemburg""",LUXEMBOURG
e1072bf3-1ee0-4847-8502-f2fd2f145ca9,"Centre de Logopédie, Luxembourg","""Centre de Logopédie, Luxembourg""",LUXEMBOURG
723aaf01-337f-406d-9f31-e3aa56e63270,Luxembourg Institute of Health; Institute of Immunology,"""Centre de Recherche Public - Santé, Luxembourg; Institute of Immunology""",LUXEMBOURG
ac312353-d37a-467d-99b1-0c871e385a79,"Public Research Center Henri Tudor, Luxembourg-Kirchberg","""Centre de Recherche Public Henri Tudor, Luxembourg-Kirchberg""",LUXEMBOURG
88885f3d-f96c-44e6-9f28-0fc99b8284ad,Luxembourg Institute of Health,"""Centre de Recherche Public Santé, Luxembourg""",LUXEMBOURG
46dba72b-f541-48c5-a4cf-31d95f057a99,Luxembourg Institute of Health; Competence Centre of Methodology and Statistics,"""Centre de Recherche Public de la Santè, Luxembourg; Competence Centre of Methodology and Statistics""",LUXEMBOURG
fb9b6021-d982-410b-8142-effeaafdb03e,Luxembourg Institute of Health; Laboratory of Emotional Disorders,"""Centre de Recherche Public de la Santè, Luxembourg; Laboratory of Emotional Disorders""",LUXEMBOURG
9715a660-8958-4c92-ad45-3f2f6c19b9a9,"Centre for Memory and Mobility, Zitha, Luxembourg","""Centre for Memory and Mobility, Zitha, Luxembourg city""",LUXEMBOURG
8a12c887-1a53-4ad2-aef6-cd638bb28700,"Centre for children and adolescents with Learning Disorders - Grand-Duchess Maria Teresa (CDA), Ministère de l''Éducation nationale","""Centre pour le développement des apprentissages Grande-Duchesse Maria Teresa (CDA), Ministère de l'Éducation nationale""",LUXEMBOURG
d7cda071-4086-44c0-a813-caa05f39ba20,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences; Department of Behavioral and Cognitive Sciences; Institute for Health and Behavior; Clinical Psychophysiology Laboratory; Research Unit on Social and Individual Development","""Clinical Psychophysiology Laboratory, Institute for Health and Behaviour, Research Unit INSIDE, University of Luxembourg""",LUXEMBOURG
273de53d-dd36-4e5b-b2a7-2d20bf93aa5c,Clinique Bohler and Hôpital Kirchberg,"""Clinique Bohler and Hôpital Kirchberg""",LUXEMBOURG
2f96903a-9d6a-4672-9600-7859e21df31b,Co-Founder Zortify S.A.,"""Co-Founder Zortify S.A.""",LUXEMBOURG
c867ab79-b31e-4ea1-9e4e-7b2ae17fe12f,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences; Department of Behavioral and Cognitive Sciences, Institute of Cognitive Science and Assessment; Cognitive Neuroscience Lab","""Cognitive Neuroscience Lab, Department of Behavioural and Cognitive Sciences, Institute of Cognitive Science & Assessment, University of Luxembourg, Esch-sur-Alzette""",LUXEMBOURG
231a1147-736a-46ac-a251-dcc363cc44f9,"Competence Center for Methodology and Statistics, Luxembourg Institute of Health, 1445 Strassen","""Competence Center for Methodology and Statistics, Luxembourg Institute of Health, 1445 Strassen""",LUXEMBOURG
2401a659-8306-4680-8792-cd879952c6d4,"DZ PRIVATBANK S.A., Strassen","""DZ PRIVATBANK S.A., Strassen""",LUXEMBOURG
8adf83db-4f88-45e0-b88e-ff0b195fe6ab,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences; Department of Behavioral and Cognitive Sciences; Institute for Lifespan Development, Family, and Culture","""Department of Behavioural and Cognitive Sciences; Institute for Lifespan Development, Family, & Culture; University of Luxembourg""",LUXEMBOURG
dd9d2fa0-df13-4513-b0ad-9ed7acc51fab,"Department of Population Health, Luxembourg Institute of Health, Strassen","""Department of Population Health, Luxembourg Institute of Health, Strassen""",LUXEMBOURG
7fb97d8e-7ffb-4e68-a1d1-3b118b67c628,"EUROCONTROL Aviation Learning Center, Luxembourg","""EUROCONTROL Aviation Learning Centre, Luxembourg""",LUXEMBOURG
b2ef568c-7db3-4744-bd32-13a1c5c42cd7,"Equimotion - Zertifizierte Reittherapie Ausbildung, Münschecker","""Equimotion - Zertifizierte Reittherapie Ausbildung, Münschecker""",LUXEMBOURG
660e248e-4713-4444-8777-ed35cf0b6d57,"European Union, Luxembourg; Institute for Labor Law and Industrial Relations","""European Union, Luxembourg; Institute for Labor Law and Industrial Relations""",LUXEMBOURG
955f8398-22e6-4170-ac57-aad319ba73ba,"Eurostat, Luxemburg","""Eurostat, Luxemburg""",LUXEMBOURG
810d76c7-d4a6-4757-b158-54e84e8d2331,"Foundation François-Elisabeth; Laboratory of Clinical Psychology, Health Psychology and Art Therapies","""Foundation François-Elisabeth; Laboratory of Clinical Psychology, Health Psychology and Art Therapies""",LUXEMBOURG
