UUID,Cluster,Vorkommende Namen,Land,ror_id,ror_name
1332353c-e935-4d6a-9be5-840b20c6be3e,Centre de Prévention des Toxicomanies (CePT),"""Centre de Prévention des Toxicomanies (CePT)"" ## ""Centre de Prévention des Toxicomanies (CePT), Luxemburg"" ## ""Centre de Prévention des Toxicomanies, Luxembourg"" ## ""Centre de Prévention des Toxicomanies, Luxemburg"" ## ""Centre de prévention des toxicomanies (CePT), Luxemburg; Schwerpunkt: Erlebnispädagogik""",Luxembourg,,
4090abb7-00da-427d-a72b-98ff9079ec82,Centre Hospitalier de Luxembourg,"""Centre Hospitalier de Luxembourg"" ## ""Centre Hospitalier de Luxembourg, Luxembourg""",Luxembourg,https://ror.org/03xq7w797,Centre Hospitalier de Luxembourg
df317420-0050-4833-92cf-06ded0e7c241,"Centre Hospitalier de Luxembourg, Department of Neurology","""Centre Hospitalier de Luxembourg, Luxemburg; Abteilung für Neurologie"" ## ""Centre Hospitalier de Luxembourg; Department of Neurology""",Luxembourg,https://ror.org/03xq7w797,Centre Hospitalier de Luxembourg
c178f9ee-c500-43dd-aff4-a1ecca4eecda,"Clinique Pediatrique/CHL, Diabetes and Endocrine Care CP","""Clinique Pediatrique/CHL, Diabetes & Endocrine Care CP"" ## ""Clinique Pediatrique/CHL, Diabetes & Endocrine Care CP, Luxembourg""",Luxembourg,,
7fe22f9c-d78d-4f11-8c87-83cfd764eae8,"Equimotion Institut für Weiterbildung, Münschecke","""Equimotion - Institut für Weiterbildung, Münschecker"" ## ""Equimotion Institut für Weiterbildung, Münschecke""",Luxembourg,,
df876aae-581f-43b3-9216-15efd1d97dd4,"Etudes et Formation, Luxemburg","""Etudes et Formation, Luxemburg"" ## ""Etudes et formation, Bertrange"" ## ""Etudes et formation, Luxembourg""",Luxembourg,,
c5b98907-a9b8-4fe5-84df-d2b07a2f98e4,"Hôpital Kirchberg, Luxembourg, Research Unit in Clinical Psychology","""Hôpital Kirchberg, Luxembourg, Research Unit in Clinical Psychology"" ## ""Hôpital Kirchberg, Luxembourg; Research Unit in Clinical Psychology"" ## ""Kirchberg Hospital Luxembourg, Clinical Psychology, Research Unit""",Luxembourg,https://ror.org/00t1xpx62,Hôpital Kirchberg
9b017675-e436-4901-8e24-1e70e2cbd273,"Hôpital Kirchberg, Luxembourg","""Hopital Kirchberg, Luxemburg"" ## ""Kirchberg Hospital""",Luxembourg,https://ror.org/00t1xpx62,Hôpital Kirchberg
81022583-a3e3-446e-918f-39d705f14399,"Hôpitaux Robert Schuman, Luxembourg; ZithaKlinik; Center for Health Promotion","""Hôpitaux Robert Schuman, Luxembourg; ZithaGesondheetsZentrum"" ## ""Hôpitaux Robert Schuman, Luxembourg; ZithaKlinik; Center for Health Promotion"" ## ""ZithaGesondheetsZentrum, Luxembourg, ZithaKlinik, Hôpitaux Robert Schuman""",Luxembourg,,
e4c91285-6924-4bd8-8f34-f9207ea9ba18,"Institut ReFoC, Biwer","""Institut ReFoC; Biwer"" ## ""Institut ReFoC, Biwer""",Luxembourg,,
92ff1e8f-bbb4-481b-9a5a-38ee8f51b90c,"Institut Supérieur d'Etudes et de Recherches Pédagogiques, Walferdange","""Institut Supérieur d'Etudes et de Recherches Pédagogiques, Walferdange"" ## ""Institut Supérieur d'Etudes et de Recherches Pédagogiques, Walferdange""",Luxembourg,,
3e0b875f-4278-4294-9622-447f52e3d1ac,"Laboratoire National de Santé, Luxembourg; Institute of Immunology","""Laboratoire National de Santé, Luxembourg; Institute of Immunology"" ## ""Laboratoire National de Santé, Luxemburg; Institute of Immunology"" ## ""Centre de Recherche Public de la Santé, Luxembourg; Laboratoire Nationale de Santé; Institute of Immunology"" ## ""Centre de Recherche Public-Santé, Luxembourg; Laboratoire National de Santé; Institute of Immunology""",Luxembourg,https://ror.org/04y798z66,Laboratoire National de Santé
ca2d945a-bbb0-4ba0-a698-b16f597bf10f,"LUNEX International University of Health, Exercise and Sports, Differdange; Department of Exercise and Sport Science","""Department of Exercise and Sport Science; LUNEX International University of Health, Exercise & Sports, Differdange"" ## ""Department of Sport and Exercise Science; LUNEX International University of Health, Exercise and Sports, Differdange""",Luxembourg,,
361ce0f9-d8d2-4513-8493-9d4ef7fd0968,"Luxembourg Institute of Health, Center for Health Studies","""Centre de Recherche Public Sante, Luxembourg; Centre d'Etudes en Sante"" ## ""Centre de Recherche Public de la Santè, Luxembourg; Centre for Health Studies"" ## ""Centre de Recherche Public-Sante, Strassen; Centre for Health Studies""",Luxembourg,https://ror.org/012m8gv78,Luxembourg Institute of Health
3898a0a6-663c-4c64-aae1-58369eba5d61,"Luxembourg Institute of Health, Department of Infection and Immunity","""Department of Infection and Immunity, Luxembourg Institute of Health, Esch-sur-Alzette"" ## ""Luxembourg Institute of Health, Esch-sur-Alzette; Department of Infection and Immunity"" ## ""Department of Infection and Immunity, Luxembourg Institute of Health, Luxembourg City, Luxembourg""",Luxembourg,https://ror.org/012m8gv78,Luxembourg Institute of Health
3c9e2d10-69b3-4c31-96f2-597e82e493e6,"Luxembourg Institute of Science and Technology (LIST), Esch-sur-Alzette","""Luxembourg Institute of Science and Technology"" ## ""Luxembourg Institute of Science and Technology (LIST), Esch-sur-Alzette""",Luxembourg,https://ror.org/01t178j62,Luxembourg Institute of Science and Technology
727f03bf-dd55-41d5-ace2-635f08bff63a,"Police Grand-Ducale, Luxembourg, Psychologischer Dienst","""Police Grand-Ducale, Luxembourg"" ## ""Police Grand-Ducale, Luxembourg, Psychologischer Dienst""",Luxembourg,,
d91fe209-9c21-410e-82c7-3d54da3ba3f8,RBS-Center fir Altersfroën,"""RBS Center fier Altersfroen, Itzig"" ## ""RBS Center fir Altersfroen, Itzig"" ## ""RBS-Center für Altersfroen, Itzig"" ## ""RBS^DDSCenter fir Altersfroen, Itzig"" ## ""RBS, Itzig"" ## ""RBS, Itzig, Diekirch"" ## ""RBS-Center fir Altersfroën, Luxemburg""",Luxembourg,,
36066514-4600-4621-b87d-57470de0f25b,"Research Unit Applied Vocational Psychology and Policy (AVOPP), Esch-sur-Alzette","AVOPP Applied Vocational Psychology and Policy Research Unit, Esch-sur-Alzette ## ""Applied Vocational Psychology and Policy Research Unit (AVOPP), Belvaux""",Luxembourg,,
