JTC;JTTI;JTRV
0011;Zeitschrift für Klinische Psychologie und Psychotherapie;ESM-Dateien werden zusammen mit dem Artikel selbst dem Peer-ReviewVerfahren unterzogen
0043;Depression and Anxiety;single-anonymized peer review model
0088;Psychologische Medizin;Die eingereichten Beiträge werden einem Peer Review-Verfahren unterzogen
0093;Transfer - Werbeforschung & Praxis;Beiträge der Rubrik "Forschung" werden in einer Doppelblind-Begutachtung (double-bind review) jeweils einen Praktiker und zwei Wissenschaftler begutachtet
0120;Psychotherapie und Sozialwissenschaft;Die eingereichten Manuskripte werden einem Begutachtungsverfahren unterzogen
0125;Zeitschrift für Psychosomatische Medizin und Psychotherapie;Double blind
0138;Archives of Women's Mental Health;All manuscripts are peer-reviewed
0153;Umweltpsychologie;Die Beiträge werden in einem anonymen Peer Review-Verfahren begutachtet
0224;OSC Organisationsberatung - Supervision - Coaching;Die Manuskripte werden einem Peer Review Verfahren unterzogen
0249;Person;Die eingereichten Manuskripte werden einem Begutachtungsverfahren unterzogen
0253;Zeitschrift für Soziologie der Erziehung und Sozialisation;Jedes eingereichte Manuskript wird in anonymisierter Form von zwei Gutachtern geprüft (peer review)
0270;Psychotherapie in Psychiatrie, Psychotherapeutischer Medizin und Klinischer Psychologie;Es erfolgt ein Begutachtungsverfahren durch Reviewer
0311;Verhaltenstherapie und Verhaltensmedizin;Die eingereichten Manuskripte werden einem anonymisierten Peer-Review-Verfahren unterzogen
0315;Gesprächspsychotherapie und Personzentrierte Beratung;Die Redaktion behält sich vor, eingegangene Manuskripte vor einer Veröffentlichung zu bearbeiten
0353;Zeitschrift für Kinder- und Jugendpsychiatrie und Psychotherapie;Peer-Review-Verfahren
0417;Psychonomic Bulletin & Review;single/double-blind
0438;Kontext;Double blind
0499;European Psychiatry;Peer-Review
0509;Beratung Aktuell;Nein
0534;Psychotherapy and Psychosomatics;single blind
0535;Psychopathology;single blind
0536;Psychological Research;single/double-blind
0538;Neuropsychobiology;single blind
0541;Human Development;single blind
0542;European Journal of Psychological Assessment;Alle Manuskripte durchlaufen ein Peer-Review-Verfahren
0546;Crisis;XAll manuscripts are anonymously peer-reviewed
0547;Communications;double blind
0549;Swiss Journal of Psychology;o.
0572;Klinische Diagnostik und Evaluation;Das eingereichte Manuskript wird von einem zuständigen Herausgeber (aus dem Kreis der Herausgeber und Mitherausgeber) unter Heranziehung von in der Regel zwei externen Gutachten (Kurzberichte: 1 Gutachten) bearbeitet, der über Annahme, Ablehnung oder Revision entscheidet
0593;Existenzanalyse;Wissenschaftliche Arbeiten unterliegen einem peer-review-Verfahren, wobei zwei unabhängige anonyme Gutachten eingeholt werden
0594;P & E;Herausgeber review
0601;European Addiction Research;double blind
0631;Social Justice Research;peer-reviewed
0633;Zeitschrift für Gerontologie und Geriatrie;Sämtliche Manuskripte werden von Gutachtern überprüft
0655;Sonderpädagogik;Eingegangene Arbeiten werden von Gutachtern beurteilt und auf ihre Eignung zur Publikation in der "Sonderpädagogik" überprüft (Peer Review)
0656;Forum der Psychoanalyse;Die Herausgeber entscheiden über die Annahme des Manuskripts
0658;Sprachheilarbeit;Originalbeiträge durchlaufen das beidseitig anonymisierte Peer-review-Verfahren
0659;Szondiana;All papers will be peer reviewed by at least one member of the editorial board or by another  qualified   person  appointed   by  them.
0661;Zeitschrift Führung + Organisation zfo;Rubrik "zfo Wissen": die eingereichten Manuskripte werden einem doppelt verdeckten Begutachtungsverfahren durch zwei Wissenschaftler unterzogen
0668;Analytische Kinder- und Jugendlichen-Psychotherapie;Originalbeiträge unterliegen dem Peer-Review-Verfahren
0670;Psychiatrische Praxis;Originalarbeiten, Übersichtsarbeiten und Kasuistiken durchlaufen ein Peer-Review-Verfahren
0710;Die Psychotherapie;Peer-Review-Verfahren
0715;Praxis der Rechtspsychologie;von zwei unabhängigen fachkenntlichen Gutachter innen bewertet
0756;Forum Supervision;kein peer review
0758;Psychotherapie Forum;Über die Annahme entscheidet die Redaktion nach Einholen zweier Gutachten, die anonym bleiben
0769;Zeitschrift für Politische Psychologie;Die eingereichten Manuskripte werden einem Review-Verfahren (blind) unterzogen
0795;Zeitschrift für Gesundheitspsychologie;Die eingereichten Manuskripte werden vom Geschäftsführenden Herausgeber unter Heranziehung von in der Regel zwei externen Gutachtern, die Kurzberichte von einem Gutachter bewertet
0824;Zeitschrift für Medizinische Psychologie;Alle eingereichten Manuskripte werden von mindestens zwei Wissenschaftlern unabhängig voneinander begutachtet
0834;Kinderanalyse;Eingehende Manuskripte werden von mindestens zwei Reviewern beurteilt, die den Namen des Autors nicht kennen
0836;Kindheit und Entwicklung;peer-review
0839;Arbeit;Beiträge durchlaufen ein doppelt-blindes Begutachtungsverfahren und werden von zwei unabhängigen externen GutachterInnen beurteilt
0896;Das Gesundheitswesen;Die eingereichten Manuskripte werden einem Begutachtungsverfahren unterzogen
0949;Soziale Probleme;double blind
0950;Zeitschrift für Semiotik;Die Artikel werden einem doppelblinden Peer-Review-Verfahren unterzogen
0959;Verhaltenstherapie;Über die Annahme wissenschaftlicher Beiträge wird aufgrund mehrerer Gutachten entschieden (peer-review)
0966;Sucht;Die Beurteilung sowie die Entscheidung über Annahme oder Ablehnung erfolgt durch mindestens zwei Mitglieder der Chefredaktion, bei fachlichen Themen auch durch ein externes Begutachterverfahren (peer review)
0970;Psychoanalyse im Widerspruch;Herausgebergutachten
0994;Zeitschrift für Neuropsychologie;peer-reviewed (single blind)
1025;Zeitschrift für Transaktionsanalyse;Manuskript wird in anonymisierter Form von zwei Gut- achter:innenn geprüft
1026;Skeptiker;Alle im Skeptiker erscheinenden Texte werden redaktionell überarbeitet. Zu Themenartikeln werden externe Gutachten eingeholt (keine Info zur Art)
1056;Musik-, Tanz- und Kunsttherapie;Peer-reviewed
1059;Zeitschrift für Familienforschung / Journal of Family Research;All manuscripts accepted for peer review will be sent anonymously to at least two reviewers
1123;Schweizer Archiv für Neurologie und Psychiatrie;Manuskripte unterliegen einem Review-Prozess
1133;Curare;Die Artikel werden einem Peer-Review-Verfahren unterzogen
1167;Sozialpsychiatrische Informationen;Die Artikel werden von zwei Mitgliedern der Redaktion anonym begutachtet (Blind Review)
1168;Recht & Psychiatrie;Eingereichte Manuskripte werden dem Herausgebergremium vorgelegt und in einem Peer-Review-Verfahren beurteilt
1173;OrganisationsEntwicklung;Jeder Artikel wird an zwei Redaktionsmitglieder zur Begutachtung gegeben
1177;Zeitschrift für Gerontopsychologie und -psychiatrie;Die Manuskripte werden im Regelfall von mindestens zwei Gutachtern inhaltlich und ferner von der Redaktion formal überprüft
1179;Systeme;Die eingereichten Beiträge werden von der Redaktion unter Heranziehung von zwei anonymen Begutachtungen durch Mitglieder des wissenschaftlichen Beirats (blind review) bearbeitet
1180;Zeitschrift für Sexualforschung;fEingereichte Manuskripte werden dem Herausgebergremium und in der Regel außerdem anonymisiert zwei Gutachtern zur Beurteilung vorgelegt (Peer Review-Verfahren)
1185;Supervision;Open review
1206;Der Schmerz;peer-reviewed
1267;Empirische Pädagogik;Die eingereichten Beiträge werden einem Peer-Review-Verfahren unterzogen
