Code,CT Englisch,Synonyme Englisch,CT Deutsch,Synonyme Deutsch,Scopenote,Historynote,Indikatoren
77600,Algorithmic Bias,,,,"Potential for machine learning models and algorithms to discriminate against specific individuals or groups. Bias can result from the quality and representativeness of the data used to train the algorithms, algorithm design or structure, implicit biases of algorithm developers, or algorithm deployment and impact.",,
77610,Artificial Intelligence Ethics,Machine Ethics; ,,,"Ethical principles, guidelines, and responsibilities applied to the design, use, and behavior of artificially intelligent systems and robots. Ethical issues within artificial intelligence and robotics include machine behavior, bias, privacy, malicious use, transparency, accountability, environmental effects, ownership of content, and socioeconomic inequalities.",,
77620,Automated Diagnosis,,,,"Use of artificial intelligence and machine learning in the analysis of patient data and symptoms to provide a diagnosis of a disease or condition without human input. Data utilized can include medical records, genetic information, lab results, and imaging, and can also identify disease risk factors and progression.",,
77630,Bayesian Algorithms,Naive Bayes Algorithm; ,,,"Class of machine learning algorithms based on Bayes' theorem that make predictions about unknown parameters or new data. In Bayesian algorithms, prior knowledge or beliefs about data parameters are expressed as a prior probability distribution, which is then updated based on observed data. Bayesian algorithms can be used in both supervised and unsupervised learning tasks, and examples include Naive Bayes, Gaussian process regression, Bayesian regression, and Bayesian networks.",,
77640,Brain Computer Interface,Neural Interface Technologies; ,,,"System that quantifies CNS activity and translates it into artificial outputs, allowing for direct communication between the brain and external devices and software, such as a computer, robotic limb, or cursor. Brain computer interfaces typically involve the use of electrodes placed on the scalp or other noninvasive methods, and use artificial intelligence, machine learning, and signal processing to identify and classify brain activity.",,
77330,Breathing Techniques,Deep Breathing; ,,,"Methods and practices focused on enhanced breathing patterns, awareness of breath, increased oxygen flow to the body, and promotion of relaxation and stress reduction. Breathing practices, such as deep breathing and diaphragmatic breathing, are often used in mindfulness-based interventions, meditation, yoga, stress management, and various therapies.",,
77650,Chatbots,,,,"Type of conversational agent designed to simulate conversation with users, typically through text-based interfaces such as messaging applications, websites, or mobile applications. Chatbots use natural language processing and machine learning algorithms to interpret user input and generate responses, and can perform a set of specific tasks or interactions, such as providing customer support or answering frequently asked questions.",,
77660,Classification (Machine Learning),,,,"Applied to the classification tasks, models, or algorithms used in supervised machine learning, which classifies a set of data into classes or groups. Classification algorithms, or classifiers, include logistic regression, naive Bayes, K-nearest neighbor, decision tree, and random forest, and can be binary or multi-class. Applications include fraud detection, medical diagnosis, and face recognition.",,
77670,Clustering (Machine Learning),,,,"Applied to the clustering tasks, methods, models, and algorithms used in unsupervised machine learning to classify populations or data points in datasets into groups based on similar properties or features. Algorithms commonly used in clustering include hierarchical clustering, Bayesian nonparametric clustering, and K-means clustering, and have applications to disease detection, pattern recognition, network and social network analysis, and data mining.",,
77340,Cognitive Analytic Therapy,,,,"Form of brief psychotherapy based on cognitive and psychoanalytic theories that seeks to understand the connections between an individual's past experiences and current beliefs and behaviors. Cognitive analytic therapy is time-limited and collaborative and focuses on identification of problematic patterns and relational processes, their origins, and more adaptive coping strategies.",,
